#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 09 22 15 15 00 1 5659.313
2022 09 22 15 00 00 1 5659.357
2022 09 22 14 45 00 1 5659.397
2022 09 22 14 30 00 1 5659.432
2022 09 22 14 15 00 1 5659.457
2022 09 22 14 00 00 1 5659.474
2022 09 22 13 45 00 1 5659.484
2022 09 22 13 30 00 1 5659.483
2022 09 22 13 15 00 1 5659.478
2022 09 22 13 00 00 1 5659.459
2022 09 22 12 45 00 1 5659.431
2022 09 22 12 30 00 1 5659.397
2022 09 22 12 15 00 1 5659.353
2022 09 22 12 00 00 1 5659.305
2022 09 22 11 45 00 1 5659.250
2022 09 22 11 30 00 1 5659.187
2022 09 22 11 15 00 1 5659.119
2022 09 22 11 00 00 1 5659.046
2022 09 22 10 45 00 1 5658.975
2022 09 22 10 30 00 1 5658.899
2022 09 22 10 15 00 1 5658.823
2022 09 22 10 00 00 1 5658.747
2022 09 22 09 45 00 1 5658.674
2022 09 22 09 30 00 1 5658.605
2022 09 22 09 15 00 1 5658.542
2022 09 22 09 00 00 1 5658.481
2022 09 22 08 45 00 1 5658.428
2022 09 22 08 30 00 1 5658.378
2022 09 22 08 15 00 1 5658.337
2022 09 22 08 00 00 1 5658.304
2022 09 22 07 45 00 1 5658.278
2022 09 22 07 30 00 1 5658.266
2022 09 22 07 15 00 1 5658.259
2022 09 22 07 00 00 1 5658.260
2022 09 22 06 45 00 1 5658.271
2022 09 22 06 30 00 1 5658.291
2022 09 22 06 15 00 1 5658.319
2022 09 22 06 00 00 1 5658.355
2022 09 22 05 45 00 1 5658.398
2022 09 22 05 30 00 1 5658.448
2022 09 22 05 15 00 1 5658.504
2022 09 22 05 00 00 1 5658.566
2022 09 22 04 45 00 1 5658.630
2022 09 22 04 30 00 1 5658.699
2022 09 22 04 15 00 1 5658.771
2022 09 22 04 00 00 1 5658.842
2022 09 22 03 45 00 1 5658.915
2022 09 22 03 30 00 1 5658.985
2022 09 22 03 15 00 1 5659.057
2022 09 22 03 00 00 1 5659.125
2022 09 22 02 45 00 1 5659.186
2022 09 22 02 30 00 1 5659.246
2022 09 22 02 15 00 1 5659.301
2022 09 22 02 00 00 1 5659.348
2022 09 22 01 45 00 1 5659.389
2022 09 22 01 30 00 1 5659.423
2022 09 22 01 15 00 1 5659.451
2022 09 22 01 00 00 1 5659.470
2022 09 22 00 45 00 1 5659.482
2022 09 22 00 30 00 1 5659.486
2022 09 22 00 15 00 1 5659.484
2022 09 22 00 00 00 1 5659.473
2022 09 21 23 45 00 1 5659.457
2022 09 21 23 30 00 1 5659.436
2022 09 21 23 15 00 1 5659.410
2022 09 21 23 00 00 1 5659.377
2022 09 21 22 45 00 1 5659.341
2022 09 21 22 30 00 1 5659.301
2022 09 21 22 15 00 1 5659.260
2022 09 21 22 00 00 1 5659.216
2022 09 21 21 45 00 1 5659.171
2022 09 21 21 30 00 1 5659.127
2022 09 21 21 15 00 1 5659.087
2022 09 21 21 00 00 1 5659.048
2022 09 21 20 45 00 1 5659.009
2022 09 21 20 30 00 1 5658.975
2022 09 21 20 15 00 1 5658.942
2022 09 21 20 00 00 1 5658.911
2022 09 21 19 45 00 1 5658.887
2022 09 21 19 30 00 1 5658.866
2022 09 21 19 15 00 1 5658.853
2022 09 21 19 00 00 1 5658.842
2022 09 21 18 45 00 1 5658.837
2022 09 21 18 30 00 1 5658.836
2022 09 21 18 15 00 1 5658.845
2022 09 21 18 00 00 1 5658.855
2022 09 21 17 45 00 1 5658.869
2022 09 21 17 30 00 1 5658.885
2022 09 21 17 15 00 1 5658.908
2022 09 21 17 00 00 1 5658.932
2022 09 21 16 45 00 1 5658.959
2022 09 21 16 30 00 1 5658.988
2022 09 21 16 15 00 1 5659.018
2022 09 21 16 00 00 1 5659.046
2022 09 21 15 45 00 1 5659.075
2022 09 21 15 30 00 1 5659.103
2022 09 21 15 15 00 1 5659.129
2022 09 21 15 00 00 1 5659.154
2022 09 21 14 45 00 1 5659.177
2022 09 21 14 30 00 1 5659.198
2022 09 21 14 15 00 1 5659.211
2022 09 21 14 00 00 1 5659.225
2022 09 21 13 45 00 1 5659.234
2022 09 21 13 30 00 1 5659.236
2022 09 21 13 15 00 1 5659.235
2022 09 21 13 00 00 1 5659.229
2022 09 21 12 45 00 1 5659.217
2022 09 21 12 30 00 1 5659.202
2022 09 21 12 15 00 1 5659.182
2022 09 21 12 00 00 1 5659.152
2022 09 21 11 45 00 1 5659.121
2022 09 21 11 30 00 1 5659.084
2022 09 21 11 15 00 1 5659.044
2022 09 21 11 00 00 1 5659.001
2022 09 21 10 45 00 1 5658.955
2022 09 21 10 30 00 1 5658.910
2022 09 21 10 15 00 1 5658.864
2022 09 21 10 00 00 1 5658.816
2022 09 21 09 45 00 1 5658.768
2022 09 21 09 30 00 1 5658.722
2022 09 21 09 15 00 1 5658.677
2022 09 21 09 00 00 1 9999.000
2022 09 21 08 59 00 2 5658.633
2022 09 21 08 58 00 2 5658.630
2022 09 21 08 57 00 2 5658.627
2022 09 21 08 56 00 2 5658.625
